"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Maternal Depression Year 1","Telomere length Z-score Year 1","658","6","16","-0.04","0.03","0.07 (-0.03, 0.17)","0.17","0.65","0.09","0.15","0.06 (-0.03, 0.16)","0.19","0.57"
"4","","Telomere length Z-score Year 2","699","6","16","-0.13","-0.09","0.04 (-0.05, 0.13)","0.41","0.66","0.2","0.25","0.05 (-0.04, 0.13)","0.29","0.57"
"5","","Change in Telomere length Z-Score","555","6","16","-0.11","-0.13","-0.02 (-0.12, 0.08)","0.69","0.69","0.26","0.25","-0.01 (-0.11, 0.1)","0.87","0.87"
"6","","","","","","","","","","","","","","",""
"7","Binary Maternal Depression Year 1","Telomere length Z-score Year 1","658","0","1","-0.04","0.11","0.15 (-0.02, 0.32)","0.09","0.65","0.1","0.21","0.11 (-0.06, 0.29)","0.2","0.57"
"8","","Telomere length Z-score Year 2","699","0","1","-0.13","-0.04","0.09 (-0.08, 0.25)","0.32","0.65","0.21","0.31","0.1 (-0.06, 0.27)","0.22","0.57"
"9","","Change in Telomere length Z-Score","555","0","1","-0.11","-0.15","-0.04 (-0.23, 0.15)","0.67","0.69","0.26","0.24","-0.02 (-0.21, 0.17)","0.82","0.87"
"10","","","","","","","","","","","","","","",""
"11","Maternal Depression Year 2","Telomere length Z-score Year 2","687","5","17","-0.11","-0.09","0.02 (-0.06, 0.11)","0.61","0.69","0.19","0.22","0.03 (-0.06, 0.11)","0.57","0.76"
"12","","","","","","","","","","","","","","",""
"13","Binary Maternal Depression Year 2","Telomere length Z-score Year 2","687","0","1","-0.12","-0.03","0.09 (-0.08, 0.26)","0.28","0.65","0.19","0.27","0.08 (-0.09, 0.24)","0.36","0.58"
